  时间         温度    气压     湿度       高度      经度        纬度     位势高度
   44.565      40.0    883.6     6.5       962.3  100.365363  41.325569      0
   45.532      40.2    883.7     6.3       972.1  100.365404  41.325565      0
   46.500      40.1    883.6     4.8       991.9  100.365404  41.325538      0
   47.467      40.1    883.5     4.4       978.2  100.365390  41.325534      0
   48.434      40.3    883.6     4.5       979.7  100.365424  41.325551      0
   49.401      40.1    883.5     5.1       982.9  100.365390  41.325531      0
   50.368      40.0    883.6     5.0       974.0  100.365397  41.325528      0
   51.320      40.3    883.6     4.8       984.3  100.365363  41.325545      0
   52.303      40.5    883.6     4.9       968.7  100.365383  41.325528      0
   53.255      40.0    883.5     4.7       989.0  100.365301  41.325569      0
   54.237      39.7    883.5     5.6      1006.7  100.365356  41.325589      0
   55.189      39.4    883.6     5.0       985.5  100.365288  41.325534      0
   56.156      38.7    883.8     4.9       973.5  100.365329  41.325528      0
   57.123      37.5    883.8     6.1       972.2  100.365431  41.325562      0
   58.058      34.9    883.8     6.6       978.3  100.365438  41.325541      0
   59.025      33.6    883.9     6.9       979.5  100.365356  41.325572      0
   60.992      33.9    883.8     7.5       979.5  100.365356  41.325572      0
   61.959      34.1    883.9     7.4       973.4  100.365315  41.325528      0
   62.927      33.6    883.9     7.7       964.4  100.365342  41.325575      0
   63.894      32.5    884.0     7.9       965.2  100.365404  41.325541      0
   64.861      31.7    884.0     8.7       975.2  100.365383  41.325487      0
   65.828      31.8    884.0     8.2       973.8  100.365404  41.325551      0
   66.780      32.0    884.0     8.8       960.0  100.365335  41.325476      0
   67.763      32.2    884.1     9.5       980.5  100.365301  41.325507      0
   68.714      31.8    883.9     9.7       981.2  100.365383  41.325504      0
   69.697      31.3    884.0     9.9       982.6  100.365397  41.325589      0
   70.649      30.7    884.0    10.5       976.6  100.365370  41.325627      0
   71.631      30.6    884.1    10.6       985.5  100.365349  41.325483      0
   72.583      30.5    883.9    10.5       991.6  100.365342  41.325497      0
   73.550      30.6    884.0    10.5       989.2  100.365342  41.325514      0
   74.517      30.5    883.9    10.5       977.9  100.365376  41.325459      0
   75.485      30.6    884.1    11.2       978.8  100.365424  41.325493      0
   76.452      30.8    884.1    11.3       957.5  100.365417  41.325507      0
   77.419      30.6    884.0    11.5       960.8  100.365417  41.325425      0
   78.386      30.4    884.1    12.6       960.6  100.365376  41.325466      0
   79.338      30.5    884.0    11.4       994.5  100.365356  41.325432      0
   80.321      30.7    884.1    11.4       986.7  100.365363  41.325459      0
   81.272      30.7    883.9    11.6       965.2  100.365506  41.325534      0
   82.255      30.6    884.0    12.6       961.0  100.365520  41.325531      0
   83.207      30.0    883.9    13.5       982.7  100.365554  41.325504      0
   84.189      29.9    884.0    13.0       985.2  100.365376  41.325524      0
   85.141      30.3    884.0    11.7       979.2  100.365376  41.325545      0
   86.108      30.0    884.0    11.6       971.3  100.365417  41.325572      0
   87.058      29.7    884.0    12.1       973.2  100.365438  41.325644      0
   88.010      29.6    884.0    12.4       979.0  100.365458  41.325545      0
   89.977      29.7    883.8    12.8       979.0  100.365458  41.325545      0
   90.944      30.1    883.9    12.2       972.4  100.365349  41.325586      0
   91.911      30.4    883.7    12.4       991.5  100.365451  41.325620      0
   92.879      31.0    883.5    10.1       984.5  100.365390  41.325654      0
   93.846      32.3    883.5    10.0       983.4  100.365363  41.325569      0
   94.813      34.0    883.5     9.7       967.5  100.365329  41.325548      0
   95.780      35.1    883.5     9.2       976.5  100.365356  41.325569      0
   96.747      35.7    883.5     9.1       971.2  100.365281  41.325517      0
   97.715      36.2    883.5     8.8       968.9  100.365329  41.325446      0
   98.682      36.5    883.4     8.3       974.9  100.365383  41.325473      0
   99.633      36.9    883.5     8.5       977.2  100.365383  41.325469      0
  100.616      37.1    883.5     8.0       973.4  100.365363  41.325466      0
  101.568      37.5    883.5     7.6       971.8  100.365376  41.325466      0
  102.551      37.9    883.6     7.3       974.1  100.365390  41.325463      0
  103.502      38.1    883.6     6.9       977.2  100.365431  41.325469      0
  104.469      38.2    883.6     7.0       973.2  100.365356  41.325435      0
  105.437      38.3    883.5     6.7       974.0  100.365431  41.325422      0
  106.404      38.3    883.6     7.0       985.0  100.365390  41.325388      0
  107.371      38.5    883.6     7.0       984.1  100.365370  41.325384      0
  108.338      38.7    883.8     6.5       978.4  100.365356  41.325391      0
  109.305      38.9    883.7     7.0       971.0  100.365335  41.325370      0
  110.304      39.3    883.7     6.6       971.7  100.365329  41.325381      0
  111.240      39.7    883.8     6.4       974.6  100.365322  41.325398      0
  112.207      40.0    883.7     5.9       965.5  100.365322  41.325428      0
  113.174      40.3    883.8     6.2       966.3  100.365329  41.325422      0
  114.126      40.5    883.7     5.8       973.4  100.365349  41.325374      0
  115.060      41.0    883.8     5.8       970.5  100.365342  41.325405      0
  116.043      41.1    883.8     5.8       971.6  100.365349  41.325398      0
  117.995      41.0    883.7     5.7       970.9  100.365342  41.325401      0
  118.977      41.1    883.8     5.6       970.9  100.365342  41.325401      0
  119.929      41.1    883.7     5.8       972.3  100.365342  41.325381      0
  120.896      41.2    883.8     5.8       972.4  100.365342  41.325374      0
  121.863      41.3    883.6     5.8       972.6  100.365342  41.325381      0
  122.831      41.4    883.7     5.3       972.9  100.365335  41.325391      0
  123.798      41.4    883.9     5.9       973.5  100.365342  41.325377      0
  124.765      41.5    883.7     5.4       973.2  100.365335  41.325381      0
  125.732      41.4    883.8     5.2       973.5  100.365335  41.325388      0
  126.699      41.3    883.7     6.0       973.8  100.365329  41.325388      0
  127.667      41.2    883.7     5.4       973.6  100.365335  41.325377      0
  128.634      41.3    883.7     5.3       973.9  100.365335  41.325377      0
  129.601      41.4    883.7     5.3       974.2  100.365329  41.325384      0
  130.568      41.6    883.7     5.6       974.4  100.365335  41.325388      0
  131.535      41.7    883.7     5.0       974.1  100.365342  41.325370      0
  132.503      41.9    883.7     5.0       974.2  100.365335  41.325377      0
  133.470      42.0    883.6     5.2       974.2  100.365342  41.325370      0
  134.437      42.1    883.6     5.2       974.3  100.365342  41.325374      0
  135.389      42.2    883.5     5.5       974.6  100.365342  41.325377      0
  136.371      42.3    883.7     5.2       974.7  100.365335  41.325377      0
  137.385      42.3    883.7     5.2       974.5  100.365342  41.325370      0
  138.306      42.3    883.6     5.0       974.5  100.365349  41.325357      0
  139.257      42.2    883.6     5.2       974.4  100.365342  41.325370      0
  140.225      42.1    883.8     5.7       974.5  100.365349  41.325360      0
  141.192      41.9    883.6     5.4       974.7  100.365342  41.325370      0
  142.159      41.9    883.7     5.3       974.4  100.365342  41.325364      0
  143.126      42.0    883.6     4.8       974.3  100.365342  41.325360      0
  144.061      42.1    883.7     5.6       974.7  100.365342  41.325360      0
  145.028      42.1    883.5     4.7       974.4  100.365342  41.325364      0
  146.995      42.2    883.6     5.1       974.2  100.365335  41.325367      0
  147.962      42.2    883.6     4.6       974.2  100.365335  41.325367      0
  148.929      42.2    883.6     5.0       974.2  100.365342  41.325357      0
  149.897      42.2    883.5     4.8       974.3  100.365335  41.325367      0
  150.864      42.3    883.6     5.3       974.4  100.365342  41.325364      0
  151.831      42.6    883.7     5.0       974.8  100.365335  41.325374      0
  152.798      42.8    883.6     5.1       974.5  100.365342  41.325360      0
  153.750      42.9    883.5     4.8       974.2  100.365335  41.325364      0
  154.733      42.7    883.7     4.7       974.0  100.365335  41.325374      0
  155.684      42.6    883.6     4.5       974.6  100.365335  41.325374      0
  156.667      42.7    883.7     4.6       974.5  100.365335  41.325374      0
  157.619      42.6    883.6     5.2       974.9  100.365335  41.325370      0
  158.601      42.6    883.5     5.0       975.2  100.365329  41.325381      0
  159.553      42.6    883.6     4.7       974.6  100.365329  41.325377      0
  160.520      42.6    883.5     4.9       974.6  100.365329  41.325377      0
  161.487      42.7    883.7     4.9       973.8  100.365335  41.325370      0
  162.455      42.7    883.6     4.5       974.5  100.365335  41.325374      0
  163.422      42.6    883.6     5.0       974.4  100.365329  41.325377      0
  164.389      42.6    883.5     4.9       974.3  100.365329  41.325377      0
  165.356      42.7    883.6     4.9       974.4  100.365329  41.325384      0
  166.323      42.8    883.6     5.1       974.9  100.365329  41.325381      0
  167.291      42.8    883.5     4.7       974.4  100.365329  41.325381      0
  168.258      42.7    883.5     4.5       974.2  100.365322  41.325384      0
  169.225      42.8    883.5     4.6       974.1  100.365322  41.325391      0
  170.192      42.8    883.5     4.8       974.4  100.365322  41.325394      0
  171.160      42.7    883.4     4.7       973.5  100.365322  41.325384      0
  172.111      42.6    883.6     4.2       973.0  100.365329  41.325374      0
  173.046      42.4    883.5     4.7       972.1  100.365315  41.325391      0
  174.028      42.5    883.6     5.3       972.6  100.365322  41.325381      0
  175.980      42.6    883.7     5.0       972.6  100.365322  41.325381      0
  176.963      42.6    883.5     5.0       971.6  100.365308  41.325394      0
  177.914      42.7    883.6     4.7       970.9  100.365308  41.325394      0
  178.882      42.8    883.5     5.1       971.4  100.365322  41.325381      0
  179.849      42.8    883.6     5.0       971.6  100.365308  41.325391      0
  180.816      42.8    883.6     5.4       970.4  100.365301  41.325398      0
  181.783      42.9    883.5     4.8       970.8  100.365308  41.325398      0
  182.750      42.9    883.6     4.9       970.6  100.365301  41.325401      0
  183.718      43.0    883.5     4.8       972.0  100.365308  41.325398      0
  184.685      43.0    883.6     5.1       970.6  100.365301  41.325405      0
  185.652      43.1    883.5     4.3       970.8  100.365308  41.325391      0
  186.619      43.2    883.7     4.6       971.0  100.365294  41.325408      0
  187.586      43.1    883.6     5.2       972.0  100.365308  41.325391      0
  188.554      43.1    883.5     4.9       972.9  100.365294  41.325405      0
  189.521      43.1    883.5     4.6       972.0  100.365288  41.325411      0
  190.488      43.1    883.5     4.4       972.0  100.365294  41.325405      0
  191.440      43.0    883.5     4.9       973.6  100.365308  41.325388      0
  192.407      43.0    883.5     4.0       972.8  100.365301  41.325391      0
  193.374      42.9    883.5     4.4       972.1  100.365294  41.325405      0
  194.341      42.8    883.5     4.3       972.4  100.365288  41.325405      0
  195.308      42.9    883.5     4.8       971.4  100.365288  41.325408      0
  196.276      42.9    883.4     4.2       972.0  100.365294  41.325394      0
  197.243      42.9    883.5     4.5       973.3  100.365301  41.325388      0
  198.210      42.9    883.5     5.0       973.0  100.365294  41.325398      0
  199.177      42.9    883.4     4.3       971.8  100.365294  41.325401      0
  200.144      42.8    883.5     4.3       972.9  100.365308  41.325384      0
  201.079      42.6    883.5     5.2       972.6  100.365294  41.325398      0
  202.046      42.6    883.4     4.7       973.1  100.365288  41.325408      0
  203.013      42.6    883.5     4.1       973.0  100.365301  41.325394      0
  204.965      42.7    883.4     4.6       973.0  100.365301  41.325394      0
  205.948      42.6    883.3     4.1       972.7  100.365294  41.325405      0
  206.899      42.6    883.3     4.6       973.7  100.365294  41.325398      0
  207.882      42.6    883.3     4.6       972.7  100.365294  41.325405      0
  208.834      42.7    883.3     4.4       973.5  100.365294  41.325398      0
  209.816      42.9    883.4     5.0       973.0  100.365301  41.325391      0
  210.768      43.1    883.4     4.4       973.1  100.365308  41.325381      0
  211.751      43.2    883.4     4.6       973.1  100.365301  41.325391      0
  212.702      43.2    883.5     4.6       974.3  100.365308  41.325381      0
  213.670      42.9    883.3     4.2       974.0  100.365315  41.325377      0
  214.637      42.7    883.4     4.0       972.9  100.365308  41.325377      0
  215.604      42.7    883.3     4.7       973.8  100.365315  41.325370      0
  216.571      42.7    883.3     4.7       974.6  100.365322  41.325360      0
  217.538      42.8    883.2     4.5       974.5  100.365315  41.325374      0
  218.506      42.9    883.2     4.5       975.2  100.365315  41.325367      0
  219.473      43.1    883.3     4.4       975.2  100.365322  41.325357      0
  220.440      43.3    883.3     4.5       974.7  100.365322  41.325360      0
  221.392      43.4    883.2     4.3       974.6  100.365322  41.325360      0
  222.374      43.3    883.2     4.5       974.4  100.365315  41.325364      0
  223.326      43.1    883.4     4.4       974.0  100.365315  41.325367      0
  224.309      43.0    883.3     4.1       973.7  100.365315  41.325367      0
  225.260      42.9    883.2     4.3       973.6  100.365322  41.325367      0
  226.243      42.9    883.2     3.5       973.4  100.365322  41.325364      0
  227.195      43.0    883.2     4.3       973.6  100.365329  41.325353      0
  228.178      43.2    883.4     4.5       973.2  100.365315  41.325370      0
  229.129      43.2    883.2     4.5       972.7  100.365315  41.325370      0
  230.064      43.0    883.3     4.3       973.6  100.365308  41.325388      0
  231.031      42.6    883.3     5.1       975.7  100.365322  41.325377      0
  232.998      42.0    883.2     4.6       978.5  100.365335  41.325377      0
  233.965      41.3    883.2     4.3       978.5  100.365335  41.325377      0
  234.932      41.0    883.4     4.4       978.2  100.365322  41.325381      0
  235.900      41.0    883.2     4.2       990.9  100.365417  41.325357      0
  236.867      40.8    883.2     4.8       980.4  100.365342  41.325374      0
  237.834      40.7    883.3     4.6       979.7  100.365335  41.325370      0
  238.801      40.7    883.2     4.3       987.9  100.365417  41.325357      0
  239.768      40.9    883.2     5.2       981.9  100.365294  41.325370      0
  240.736      40.9    883.2     5.2       971.7  100.365356  41.325381      0
  241.687      40.9    883.1     5.0       980.6  100.365370  41.325381      0
  242.670      40.8    883.1     4.9       988.9  100.365458  41.325377      0
  243.668      40.7    883.1     5.4       986.5  100.365383  41.325357      0
  244.604      40.5    883.1     6.1       988.0  100.365308  41.325367      0
  245.556      40.3    883.1     5.1       986.8  100.365376  41.325394      0
  246.539      40.2    883.0     4.5       987.2  100.365404  41.325374      0
  247.490      40.1    883.0     4.7       983.6  100.365335  41.325350      0
  248.458      40.1    883.0     5.0       985.1  100.365363  41.325364      0
  249.425      39.9    882.9     5.4       990.7  100.365376  41.325353      0
  250.392      39.7    882.9     5.3       995.0  100.365438  41.325384      0
  251.359      39.5    883.0     4.7       994.1  100.365376  41.325398      0
  252.326      39.3    882.9     5.6       996.0  100.365397  41.325381      0
  253.294      39.2    882.9     5.7       994.9  100.365424  41.325398      0
  254.261      39.1    882.9     5.6       995.5  100.365390  41.325405      0
  255.228      39.1    882.9     6.1       994.2  100.365390  41.325377      0
  256.195      39.0    882.9     6.4       992.5  100.365397  41.325408      0
  257.162      38.9    882.9     5.1       994.6  100.365417  41.325384      0
  258.097      39.2    883.0     4.7       996.4  100.365411  41.325411      0
  259.048      39.5    882.9     4.4       995.4  100.365404  41.325405      0
  260.031      39.7    883.0     5.5       995.6  100.365404  41.325408      0
  261.983      39.8    882.9     4.7       993.2  100.365390  41.325391      0
  262.966      39.8    882.9     7.6       993.2  100.365390  41.325391      0
  263.917      39.5    882.8     5.5       993.8  100.365438  41.325343      0
  264.884      39.1    882.9     5.0       995.0  100.365329  41.325425      0
  265.852      38.9    882.8     4.3       990.4  100.365397  41.325435      0
  266.819      38.7    882.8     4.9       990.6  100.365342  41.325353      0
  267.786      38.5    882.8     5.2       993.3  100.365424  41.325374      0
  268.753      38.7    882.8     4.9       993.6  100.365438  41.325377      0
  269.720      39.0    882.8     4.7       993.6  100.365438  41.325381      0
  270.688      39.2    882.9     5.1       993.2  100.365438  41.325384      0
  271.655      39.4    882.9     5.5       989.6  100.365417  41.325398      0
  272.606      39.5    883.0     5.0       984.7  100.365390  41.325405      0
  273.589      39.6    883.0     4.3       980.7  100.365363  41.325418      0
  274.541      39.7    883.0     4.6       980.3  100.365363  41.325418      0
  275.524      39.9    883.0     4.8       980.5  100.365356  41.325411      0
  276.475      40.1    883.0     4.7       979.5  100.365349  41.325418      0
  277.458      40.2    883.0     4.8       979.6  100.365349  41.325422      0
  278.410      40.2    882.9     4.6       978.4  100.365342  41.325428      0
  279.377      40.4    883.1     5.0       977.4  100.365335  41.325428      0
  280.344      40.3    883.1     5.6       976.9  100.365329  41.325425      0
  281.311      40.3    883.1     5.1       975.9  100.365322  41.325428      0
  282.279      40.2    883.1     4.3       976.0  100.365329  41.325428      0
  283.246      40.3    883.0     5.1       975.7  100.365329  41.325428      0
  284.213      40.4    883.0     4.9       975.6  100.365329  41.325428      0
  285.180      40.6    883.0     4.9       975.6  100.365322  41.325422      0
  286.147      40.7    883.1     4.8       975.2  100.365315  41.325415      0
  287.082      40.9    883.2     4.9       975.6  100.365322  41.325418      0
  288.049      41.0    883.0     4.8       975.5  100.365322  41.325422      0
  289.001      41.1    883.0     4.4       974.8  100.365315  41.325422      0
  290.983      41.2    883.1     4.9       974.8  100.365315  41.325422      0
  291.935      41.4    883.2     4.8       975.0  100.365308  41.325422      0
  292.918      41.5    883.2     5.5       974.2  100.365308  41.325422      0
  293.869      41.6    883.1     5.1       974.1  100.365308  41.325418      0
  294.837      41.7    883.2     4.8       974.9  100.365315  41.325418      0
  295.804      41.7    883.1     5.0       974.8  100.365315  41.325422      0
  296.787      41.7    883.2     4.0       975.3  100.365315  41.325422      0
  297.738      41.7    883.2     4.4       974.9  100.365308  41.325411      0
  298.705      41.7    883.1     4.8       974.8  100.365308  41.325411      0
  299.673      41.6    883.2     4.3       975.5  100.365315  41.325411      0
  300.640      41.6    883.2     4.4       975.7  100.365315  41.325418      0
  301.607      41.6    883.2     4.5       975.8  100.365315  41.325418      0
  302.574      41.7    883.1     4.1       975.9  100.365315  41.325411      0
  303.541      41.8    883.1     4.8       976.1  100.365315  41.325408      0
  304.509      41.8    883.1     4.7       976.6  100.365315  41.325411      0
  305.476      41.9    883.2     4.7       976.4  100.365315  41.325411      0
  306.443      42.0    883.2     4.7       976.9  100.365315  41.325411      0
  307.395      42.0    883.3     4.2       977.6  100.365329  41.325422      0
  308.362      42.1    883.2     3.8       976.8  100.365315  41.325418      0
  309.329      42.2    883.2     4.4       977.1  100.365322  41.325418      0
  310.296      42.3    883.3     4.4       977.8  100.365322  41.325415      0
  311.263      42.3    883.2     4.2       977.7  100.365329  41.325418      0
  312.231      42.2    883.2     4.2       977.4  100.365329  41.325418      0
  313.198      42.2    883.2     4.6       977.4  100.365329  41.325418      0
  314.165      42.1    883.2     4.5       977.2  100.365322  41.325415      0
  315.132      42.2    883.3     4.5       977.5  100.365329  41.325418      0
  316.067      42.2    883.3     4.1       977.3  100.365329  41.325418      0
  317.034      42.3    883.3     4.1       977.4  100.365329  41.325418      0
  318.001      42.3    883.2     3.8       976.8  100.365315  41.325411      0
  319.968      42.3    883.3     3.9       976.8  100.365315  41.325411      0
  320.935      42.3    883.4     4.8       977.3  100.365329  41.325415      0
  321.887      42.4    883.3     3.8       976.9  100.365322  41.325415      0
  322.870      42.6    883.4     4.6       977.7  100.365329  41.325418      0
  323.821      42.6    883.2     4.2       977.2  100.365315  41.325408      0
  324.789      42.7    883.2     4.0       976.7  100.365308  41.325405      0
  325.756      42.8    883.3     4.5       976.2  100.365301  41.325401      0
  326.723      42.7    883.3     4.2       976.7  100.365308  41.325401      0
  327.690      42.6    883.2     4.4       977.3  100.365315  41.325408      0
  328.657      42.6    883.3     3.6       977.6  100.365315  41.325408      0
  329.625      42.6    883.4     3.9       977.5  100.365315  41.325408      0
  330.592      42.5    883.3     3.8       977.7  100.365315  41.325408      0
  331.559      42.4    883.4     4.4       977.2  100.365315  41.325408      0
  332.526      42.4    883.3     3.7       977.4  100.365315  41.325411      0
  333.493      42.4    883.3     3.9       977.0  100.365308  41.325408      0
  334.445      42.4    883.3     3.3       977.7  100.365315  41.325405      0
  335.428      42.5    883.3     4.0       977.4  100.365308  41.325408      0
  336.379      42.6    883.2     3.5       977.9  100.365315  41.325411      0
  337.362      42.6    883.3     3.6       978.6  100.365322  41.325411      0
  338.314      42.5    883.3     3.9       978.5  100.365322  41.325405      0
  339.297      42.4    883.3     3.8       978.6  100.365322  41.325408      0
  340.248      42.3    883.3     3.4       978.3  100.365315  41.325401      0
  341.215      42.5    883.4     4.6       977.7  100.365308  41.325401      0
  342.183      42.5    883.3     4.2       977.5  100.365308  41.325398      0
  343.150      42.6    883.4     4.1       977.4  100.365301  41.325401      0
  344.084      42.5    883.3     4.5       978.4  100.365315  41.325408      0
  345.051      42.4    883.3     3.7       978.5  100.365315  41.325411      0
  346.019      42.4    883.4     4.6       977.7  100.365308  41.325405      0
  347.986      42.3    883.3     4.1       977.7  100.365308  41.325405      0
  348.937      42.3    883.3     4.1       978.1  100.365308  41.325408      0
  349.920      42.3    883.4     3.7       977.2  100.365301  41.325401      0
  350.872      42.3    883.3     4.3       978.1  100.365315  41.325408      0
  351.839      42.3    883.3     5.0       977.7  100.365308  41.325405      0
  352.822      42.4    883.3     4.3       977.3  100.365308  41.325408      0
  353.773      42.5    883.3     4.9       977.6  100.365315  41.325405      0
  354.756      42.6    883.2     3.4       978.0  100.365322  41.325411      0
  355.708      42.6    883.2     4.4       977.3  100.365308  41.325405      0
  356.675      42.6    883.3     4.4       977.3  100.365308  41.325401      0
  357.642      42.7    883.4     4.6       977.6  100.365315  41.325405      0
  358.609      42.7    883.2     4.3       978.2  100.365322  41.325408      0
  359.577      42.6    883.3     4.7       978.5  100.365322  41.325408      0
  360.544      42.6    883.2     3.9       979.0  100.365329  41.325405      0
  361.511      42.6    883.2     3.9       979.1  100.365329  41.325405      0
  362.478      42.7    883.3     4.2       979.1  100.365335  41.325408      0
  363.445      42.7    883.3     3.9       978.6  100.365329  41.325408      0
  364.413      42.6    883.1     3.5       978.5  100.365335  41.325405      0
  365.380      42.7    883.2     3.1       978.8  100.365342  41.325415      0
  366.331      42.9    883.3     4.2       978.7  100.365335  41.325411      0
  367.314      42.9    883.2     4.4       978.2  100.365335  41.325408      0
  368.266      42.9    883.3     4.2       978.8  100.365342  41.325418      0
  369.249      42.9    883.3     3.9       979.7  100.365349  41.325418      0
  370.200      42.8    883.2     3.8       979.5  100.365342  41.325415      0
  371.167      42.8    883.2     3.5       979.5  100.365342  41.325415      0
  372.135      42.8    883.2     3.4       979.4  100.365335  41.325411      0
  373.069      43.1    883.2     3.6       979.3  100.365335  41.325411      0
  374.036      43.2    883.2     3.3       978.9  100.365329  41.325408      0
  375.003      43.3    883.2     3.9       979.4  100.365342  41.325415      0
  376.971      43.4    883.3     4.2       979.4  100.365342  41.325415      0
  377.938      43.5    883.2     3.9       979.7  100.365342  41.325418      0
  378.905      43.4    883.3     4.3       979.2  100.365335  41.325411      0
  379.872      43.3    883.2     3.3       978.7  100.365322  41.325405      0
  380.824      43.1    883.1     3.8       979.2  100.365329  41.325408      0
  381.791      43.1    883.1     3.2       979.5  100.365335  41.325411      0
  382.758      43.1    883.1     3.6       979.1  100.365335  41.325415      0
  383.725      43.0    883.2     3.3       978.5  100.365329  41.325411      0
  384.693      43.0    883.2     4.2       978.8  100.365335  41.325411      0
  385.660      43.0    883.2     3.6       979.0  100.365335  41.325411      0
  386.627      42.9    883.2     3.3       979.0  100.365335  41.325411      0
  387.594      42.7    883.2     3.5       979.0  100.365335  41.325411      0
  388.561      42.7    883.1     3.8       978.4  100.365329  41.325408      0
  389.544      42.7    883.3     4.0       978.2  100.365329  41.325415      0
  390.496      42.7    883.2     3.4       978.6  100.365335  41.325415      0
  391.463      42.7    883.1     4.2       977.7  100.365322  41.325408      0
  392.430      42.6    883.1     3.5       978.1  100.365322  41.325405      0
  393.397      42.6    883.2     3.9       978.1  100.365322  41.325405      0
  394.365      42.5    883.2     3.5       977.7  100.365315  41.325401      0
  395.332      42.5    883.1     3.4       977.7  100.365322  41.325408      0
  396.284      42.5    883.2     4.1       977.9  100.365322  41.325405      0
  397.251      42.6    883.1     3.2       978.1  100.365322  41.325408      0
  398.218      42.7    883.2     3.3       978.4  100.365322  41.325401      0
  399.185      42.9    883.1     2.8       978.2  100.365322  41.325405      0
  400.152      43.0    883.1     4.5       978.4  100.365322  41.325401      0
  401.087      43.3    883.1     3.8       979.0  100.365335  41.325411      0
  402.054      43.4    883.1     4.0       979.0  100.365329  41.325401      0
  403.021      43.5    883.1     4.3       979.2  100.365329  41.325411      0
  404.988      43.6    883.1     2.8       978.2  100.365322  41.325405      0
  405.956      43.5    883.1     3.4       978.2  100.365322  41.325405      0
  406.907      43.4    883.1     3.7       978.9  100.365329  41.325408      0
  407.890      43.4    883.0     3.4       979.4  100.365329  41.325411      0
  408.842      43.4    883.0     4.1       979.2  100.365329  41.325411      0
  409.824      43.4    883.1     4.1       979.5  100.365329  41.325411      0
  410.776      43.4    883.0     4.0       979.8  100.365329  41.325411      0
  411.743      43.4    883.1     3.5       978.8  100.365322  41.325405      0
  412.710      43.3    883.0     3.1       979.4  100.365329  41.325408      0
  413.678      43.1    883.2     3.8       979.4  100.365322  41.325411      0
  414.645      42.9    883.1     3.8       978.6  100.365315  41.325411      0
  415.612      42.9    883.0     4.0       979.7  100.365329  41.325411      0
  416.579      43.0    883.0     3.7       978.9  100.365322  41.325408      0
  417.546      43.0    883.1     2.8       978.8  100.365315  41.325405      0
  418.514      43.0    883.0     4.5       978.4  100.365308  41.325401      0
  419.481      43.1    883.0     4.0       979.0  100.365315  41.325408      0
  420.448      43.3    883.2     2.7       979.4  100.365322  41.325411      0
  421.400      43.3    883.2     4.1       979.0  100.365315  41.325408      0
  422.382      43.2    883.1     3.0       978.6  100.365315  41.325405      0
